Actif;Date;High;Low;Open;Close;Volume
^FTSE;20/02/2012;5956.3;5905.1;5905.1;5945.3;724579800
^FTSE;17/02/2012;5923.6;5885.4;5885.4;5905.1;1101910900
^FTSE;16/02/2012;5892.4;5829.4;5892.2;5885.4;751580400
^FTSE;15/02/2012;5923.8;5880.6;5899.9;5892.2;801550000
^FTSE;14/02/2012;5920.6;5877.2;5905.7;5899.9;832567200
^FTSE;13/02/2012;5920.1;5852.4;5852.4;5905.7;643543000
^FTSE;10/02/2012;5895.5;5839.9;5895.5;5852.4;948790200
^FTSE;09/02/2012;5916.3;5870.5;5875.9;5895.5;973462200
^FTSE;08/02/2012;5916.2;5871.3;5890.3;5875.9;809267800
^FTSE;07/02/2012;5906.6;5850.5;5892.2;5890.3;785340600
^FTSE;06/02/2012;5901.1;5863.5;5901.1;5892.2;828464600
^FTSE;03/02/2012;5901.1;5784.2;5796.1;5901.1;1156774100
^FTSE;02/02/2012;5809.8;5765.7;5790.7;5796.1;971388400
^FTSE;01/02/2012;5790.7;5680.7;5681.6;5790.7;989847000
^FTSE;31/01/2012;5730.3;5671.1;5671.1;5681.6;1018319000
^FTSE;30/01/2012;5733.5;5651.6;5733.5;5671.1;778100000
^FTSE;27/01/2012;5795.2;5729;5795.2;5733.5;790045200
^FTSE;26/01/2012;5806.2;5722.8;5723;5795.2;874328800
^FTSE;25/01/2012;5777.7;5694;5751.9;5723;884691000
^FTSE;24/01/2012;5782.6;5719.9;5782.6;5751.9;916504800
^FTSE;23/01/2012;5789.9;5723.1;5728.5;5782.6;852459600
^FTSE;20/01/2012;5749.8;5721.6;5741.1;5728.5;1315166100
^FTSE;19/01/2012;5743.9;5693.2;5702.4;5741.1;1404442300
^FTSE;18/01/2012;5709.9;5647.9;5694;5702.4;792321000
^FTSE;17/01/2012;5724.4;5657.4;5657.4;5694;1232187200
^FTSE;16/01/2012;5662.9;5609.9;5636.6;5657.4;672823000
^FTSE;13/01/2012;5709.2;5583.5;5662.4;5636.6;1318584300
^FTSE;12/01/2012;5699.6;5640.3;5670.8;5662.4;1383932300
^FTSE;11/01/2012;5700.8;5644.8;5696.7;5670.8;894220800
^FTSE;10/01/2012;5711.9;5612.3;5612.3;5696.7;865034400
^FTSE;09/01/2012;5673.8;5604.6;5649.7;5612.3;788891400
^FTSE;06/01/2012;5682.8;5623.4;5624.3;5649.7;705018000
^FTSE;05/01/2012;5689.3;5614.4;5668.5;5624.3;794279400
